Name
Arctic Wolf
ArmorPoint
Avast Endpoint
Bitdefender
Carbon Black
Check Point
Cisco Advanced Malware Protection (AMP) 
Cisco Secure Endpoint
Cisco Firepower
Cisco Stealthwatch
Cisco Umbrella
Comodo
Cortex Extended Detection and Response (XDR)
CrowdStrike
Cybereason
Cylance Endpoint Security
Cynet Next-Gen Antivirus (NGAV)
CYREN AntiVirus
Elastic Security
ESET-NOD32
FireEye Endpoint Security
Fortinet
HP Wolf Security
Kaspersky
Malwarebytes
ManageEngine Endpoint Central
Microsoft Windows Defender
Microsoft Windows Defender ATP
Morphisec
McAfee
PC Matic
Secureworks Taegis Extended Detection and Response (XDR)
SentinelOne
Sophos Central
Sophos Intercept X
Sophos Intercept X Advanced with Extended Detection and Response (XDR)
Sophos Managed Threat Response (MTR)
Symantec Endpoint Security
Trellix
Trend Micro
WatchGuard
Webroot
WithSecure
Vipre
